date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:06:03	78/78	---MCZ	200	added ('OK')	text/plain	etag:W/%2266614037-43%22	https://vingobet.com/robots.txt		(from )
16:06:03	10317/10317	---MCZ	200	added ('OK')	text/html	etag:W/%226661410e-284d%22	https://vingobet.com/	/home/frank/websites/casino-3/vingobet.com/index.html	(from )
16:06:05	224507/224507	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2011%20Jun%202024%2015:06:04%20GMT	https://connect.facebook.net/en_US/fbevents.js	/home/frank/websites/casino-3/connect.facebook.net/en_US/fbevents.js	(from https://vingobet.com/)
16:06:06	0/0	---M--	200	added ('OK')	text/plain	date:Tue,%2011%20Jun%202024%2015:06:05%20GMT	https://www.facebook.com/tr?id=3586194444927639&ev=PageView&noscript=1	/home/frank/websites/casino-3/www.facebook.com/tr.1b723.delayed	(from https://vingobet.com/)
16:06:06	91744/91744	---MCZ	200	added ('OK')	text/javascript	etag:W/%22430ec09f84c88581abefb862c5f73e1e%22	https://cdn.adjust.com/adjust-latest.min.js	/home/frank/websites/casino-3/cdn.adjust.com/adjust-latest.min.js	(from https://vingobet.com/)
16:06:08	10131/10131	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2027%20May%202024%2002:52:15%20GMT	https://s1.kwai.net/kos/s101/nlav11187/pixel/events.js	/home/frank/websites/casino-3/s1.kwai.net/kos/s101/nlav11187/pixel/events.js	(from https://vingobet.com/)
16:06:09	10131/10131	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2027%20May%202024%2002:52:15%20GMT	https://s1.kwai.net/kos/s101/nlav11187/pixel/events.js?sdkid=	/home/frank/websites/casino-3/s1.kwai.net/kos/s101/nlav11187/pixel/events81f7.js	(from https://vingobet.com/)
16:06:10	4567/4567	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2011%20Jun%202024%2015:06:11%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	/home/frank/websites/casino-3/analytics.tiktok.com/i18n/pixel/events.js	(from https://vingobet.com/)
16:06:12	16958/16958	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2266614037-423e%22	https://vingobet.com/favicon.ico	/home/frank/websites/casino-3/vingobet.com/favicon.ico	(from https://vingobet.com/)
16:06:13	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Jun%202024%2015:06:12%20GMT	https://fonts.gstatic.com/	/home/frank/websites/casino-3/fonts.gstatic.com/index.html	(from https://vingobet.com/)
16:06:13	195/195	---MC-	200	added ('OK')	text/css	date:Tue,%2011%20Jun%202024%2015:06:12%20GMT	https://fonts.googleapis.com/css2?family=Mitr:wght@500&display=swap	/home/frank/websites/casino-3/fonts.googleapis.com/css27097.css	(from https://vingobet.com/)
16:06:13	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Jun%202024%2015:06:13%20GMT	https://fonts.googleapis.com/	/home/frank/websites/casino-3/fonts.googleapis.com/index.html	(from https://vingobet.com/)
16:06:14	194429/194429	---MCZ	200	added ('OK')	image/png	etag:W/%2266614037-2f77d%22	https://vingobet.com/logo512.png	/home/frank/websites/casino-3/vingobet.com/logo512.png	(from https://vingobet.com/)
16:06:15	476/476	---MCZ	200	added ('OK')	application/json	etag:W/%2266614037-1dc%22	https://vingobet.com/manifest.json	/home/frank/websites/casino-3/vingobet.com/manifest.json	(from https://vingobet.com/)
16:06:15	2085480/2085480	---M-Z	200	added ('OK')	application/javascript	etag:%226661410e-c69c2%22	https://vingobet.com/static/js/main.c414aaae.js	/home/frank/websites/casino-3/vingobet.com/static/js/main.c414aaae.js	(from https://vingobet.com/)
16:06:17	808626/808626	---M-Z	200	added ('OK')	text/css	etag:%226661410e-1ec7e%22	https://vingobet.com/static/css/main.cef6dd8f.css	/home/frank/websites/casino-3/vingobet.com/static/css/main.cef6dd8f.css	(from https://vingobet.com/)
16:06:18	90047/90047	---MCZ	200	added ('OK')	image/gif	etag:W/%2266614037-15fbf%22	https://vingobet.com/loading.gif	/home/frank/websites/casino-3/vingobet.com/loading.gif	(from https://vingobet.com/)
